2025-05-22 22:33:17,883 INFO    StreamThr :30740 [internal.py:wandb_internal():86] W&B internal server running at pid: 30740, started at: 2025-05-22 22:33:17.882574
2025-05-22 22:33:17,883 DEBUG   HandlerThread:30740 [handler.py:handle_request():144] handle_request: status
2025-05-22 22:33:17,885 INFO    WriterThread:30740 [datastore.py:open_for_write():85] open: D:\github\Opt\main\wandb\run-20250522_223317-2qvbwetj\run-2qvbwetj.wandb
2025-05-22 22:33:17,887 DEBUG   SenderThread:30740 [sender.py:send():379] send: header
2025-05-22 22:33:17,887 DEBUG   SenderThread:30740 [sender.py:send():379] send: run
2025-05-22 22:33:19,406 DEBUG   HandlerThread:30740 [handler.py:handle_request():144] handle_request: check_version
2025-05-22 22:33:19,407 INFO    SenderThread:30740 [dir_watcher.py:__init__():211] watching files in: D:\github\Opt\main\wandb\run-20250522_223317-2qvbwetj\files
2025-05-22 22:33:19,407 INFO    SenderThread:30740 [sender.py:_start_run_threads():1121] run started: 2qvbwetj with start time 1747924397.884563
2025-05-22 22:33:19,407 DEBUG   SenderThread:30740 [sender.py:send_request():406] send_request: check_version
2025-05-22 22:33:20,400 DEBUG   HandlerThread:30740 [handler.py:handle_request():144] handle_request: run_start
2025-05-22 22:33:20,575 DEBUG   HandlerThread:30740 [system_info.py:__init__():32] System info init
2025-05-22 22:33:20,575 DEBUG   HandlerThread:30740 [system_info.py:__init__():47] System info init done
2025-05-22 22:33:20,575 INFO    HandlerThread:30740 [system_monitor.py:start():181] Starting system monitor
2025-05-22 22:33:20,576 INFO    SystemMonitor:30740 [system_monitor.py:_start():145] Starting system asset monitoring threads
2025-05-22 22:33:20,581 INFO    HandlerThread:30740 [system_monitor.py:probe():201] Collecting system info
2025-05-22 22:33:20,581 INFO    SystemMonitor:30740 [interfaces.py:start():190] Started cpu monitoring
2025-05-22 22:33:20,582 INFO    SystemMonitor:30740 [interfaces.py:start():190] Started disk monitoring
2025-05-22 22:33:20,582 INFO    SystemMonitor:30740 [interfaces.py:start():190] Started gpu monitoring
2025-05-22 22:33:20,583 INFO    SystemMonitor:30740 [interfaces.py:start():190] Started memory monitoring
2025-05-22 22:33:20,590 INFO    SystemMonitor:30740 [interfaces.py:start():190] Started network monitoring
2025-05-22 22:33:20,604 DEBUG   HandlerThread:30740 [system_info.py:probe():196] Probing system
2025-05-22 22:33:20,604 DEBUG   HandlerThread:30740 [gitlib.py:_init_repo():53] git repository is invalid
2025-05-22 22:33:20,604 DEBUG   HandlerThread:30740 [system_info.py:probe():244] Probing system done
